layer	0	epoch	0	-98.53649283	98.53649283	layer	1	epoch	0	-173.210156	173.210156	layer	2	epoch	0	-69.62126499	69.62126499
layer	0	epoch	1	-83.84455762	83.84455762	layer	1	epoch	1	-150.9258648	150.9258648	layer	2	epoch	1	-57.44631031	57.44631031
layer	0	epoch	2	-80.6960564	80.6960564	layer	1	epoch	2	-145.8128225	145.8128225	layer	2	epoch	2	-54.99176114	54.99176114
layer	0	epoch	3	-79.03839776	79.03839776	layer	1	epoch	3	-143.0237013	143.0237013	layer	2	epoch	3	-53.70392108	53.70392108
layer	0	epoch	4	-77.92893048	77.92893048	layer	1	epoch	4	-141.1663385	141.1663385	layer	2	epoch	4	-52.85384618	52.85384618
layer	0	epoch	5	-77.08864025	77.08864025	layer	1	epoch	5	-139.752674	139.752674	layer	2	epoch	5	-52.2350386	52.2350386
layer	0	epoch	6	-76.40529544	76.40529544	layer	1	epoch	6	-138.6521201	138.6521201	layer	2	epoch	6	-51.72328048	51.72328048
layer	0	epoch	7	-75.83012436	75.83012436	layer	1	epoch	7	-137.709338	137.709338	layer	2	epoch	7	-51.34703169	51.34703169
layer	0	epoch	8	-75.3491889	75.3491889	layer	1	epoch	8	-136.9533592	136.9533592	layer	2	epoch	8	-50.99811388	50.99811388
layer	0	epoch	9	-74.93500974	74.93500974	layer	1	epoch	9	-136.281396	136.281396	layer	2	epoch	9	-50.69472056	50.69472056
layer	0	epoch	10	-74.59989711	74.59989711	layer	1	epoch	10	-135.7074267	135.7074267	layer	2	epoch	10	-50.45467476	50.45467476
layer	0	epoch	11	-74.26267801	74.26267801	layer	1	epoch	11	-135.2141625	135.2141625	layer	2	epoch	11	-50.20090186	50.20090186
layer	0	epoch	12	-73.92514974	73.92514974	layer	1	epoch	12	-134.7826965	134.7826965	layer	2	epoch	12	-49.97433407	49.97433407
layer	0	epoch	13	-73.6783177	73.6783177	layer	1	epoch	13	-134.4011518	134.4011518	layer	2	epoch	13	-49.79153548	49.79153548
layer	0	epoch	14	-73.42487033	73.42487033	layer	1	epoch	14	-134.0733156	134.0733156	layer	2	epoch	14	-49.61859784	49.61859784
layer	0	epoch	15	-73.15985629	73.15985629	layer	1	epoch	15	-133.7648756	133.7648756	layer	2	epoch	15	-49.4669364	49.4669364
layer	0	epoch	16	-72.96473618	72.96473618	layer	1	epoch	16	-133.4959416	133.4959416	layer	2	epoch	16	-49.32292388	49.32292388
layer	0	epoch	17	-72.78664011	72.78664011	layer	1	epoch	17	-133.2530304	133.2530304	layer	2	epoch	17	-49.18711787	49.18711787
layer	0	epoch	18	-72.61781084	72.61781084	layer	1	epoch	18	-133.0225537	133.0225537	layer	2	epoch	18	-49.07749672	49.07749672
